Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,OK
349.232,8,354,14815,339,355,9,6,1
293.664,8,701,13431,287,300,6,7,1
392.0,2,221,243,384,386,7,-5,0
370.0,2,193,236,365,367,4,-2,0
349.232,8,749,15169,341,355,7,6,1
329.632,5,2628,5918,326,333,3,4,1
311.12,6,524,3523,306,316,4,5,1
293.664,5,816,3196,289,296,4,3,1
277.184,2,264,301,275,277,1,0,0
370.0,3,126,227,365,369,4,0,0
311.12,6,4024,19934,306,316,4,5,1
329.632,7,1529,19385,324,337,5,8,1
293.664,7,2293,17338,287,298,6,5,1
349.232,6,1719,5841,343,353,5,4,1
370.0,2,274,323,365,369,4,0,0
277.184,5,148,229,269,277,7,0,0
349.232,6,4220,19461,343,353,5,4,1
293.664,7,1444,16316,289,300,4,7,1
311.12,7,506,5444,306,318,4,7,1
329.632,7,576,4335,324,335,5,6,1
392.0,1,109,109,384,384,7,-7,0
370.0,2,76,78,367,371,2,1,0
277.184,1,76,76,271,271,5,-5,0
329.632,9,511,19980,322,337,7,8,1
311.12,9,374,17752,302,318,8,7,1
349.232,8,255,5521,339,357,9,8,1
293.664,7,440,1734,287,300,6,7,1
277.184,7,127,437,269,283,7,6,0
370.0,5,218,381,361,371,8,1,0
349.232,10,349,17283,339,357,9,8,1
293.664,7,2223,15038,287,300,6,7,1
311.12,6,3289,13337,304,314,6,3,1
329.632,7,247,1633,324,337,5,8,1
277.184,5,196,409,269,279,7,2,0
370.0,7,167,251,361,373,8,3,0
246.944,2,117,139,240,242,6,-4,0
329.632,7,1272,19099,324,337,5,8,1
293.664,6,4011,18329,289,298,4,5,1
349.232,6,3340,14591,343,357,5,8,1
311.12,8,340,11321,302,316,8,5,1
370.0,3,143,263,367,371,2,1,0
277.184,3,113,228,273,277,3,0,0
311.12,7,1759,17750,302,316,8,5,1
349.232,8,871,8551,341,357,7,8,1
293.664,5,1518,5738,289,296,4,3,1
329.632,7,663,1600,324,337,5,8,1
277.184,7,202,405,271,283,5,6,0
392.0,5,165,305,382,402,9,10,0
233.08,3,207,239,234,238,-1,5,0
349.232,8,563,18257,341,355,7,6,1
329.632,8,696,18025,322,335,7,6,1
293.664,7,432,11066,289,300,4,7,1
311.12,6,709,2911,304,318,6,7,1
277.184,5,389,712,271,281,5,4,0
246.944,1,151,151,240,240,6,-6,0
311.12,9,761,17954,302,318,8,7,1
293.664,8,1044,17199,287,300,6,7,1
329.632,5,1136,2772,326,333,3,4,1
349.232,4,805,1572,345,351,3,2,1
277.184,4,339,541,271,277,5,0,0
329.632,8,587,17744,322,335,7,6,1
349.232,7,657,17216,343,355,5,6,1
293.664,8,562,9778,287,300,6,7,1
311.12,6,997,5812,304,314,6,3,1
277.184,3,164,327,271,275,5,-1,0
392.0,4,137,260,382,402,9,10,0
370.0,3,156,245,365,369,4,0,0
415.312,2,121,136,404,421,11,6,0
246.944,1,115,115,240,240,6,-6,0
311.12,9,684,15014,302,318,8,7,1
349.232,7,708,10557,343,355,5,6,1
293.664,8,560,5652,287,300,6,7,1
329.632,7,471,4165,324,335,5,6,1
370.0,4,122,270,363,369,6,0,0
277.184,4,133,201,271,277,5,0,0
