Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,left,right,OK
164,5,202425,766674,160,167,3,3,564248.3578706197,-111509.73548997007,1
195,5,210244,748271,191,199,3,3,538026.9406537977,-135997.8779971992,0
123,3,309705,446682,121,125,1,1,-1,-1,0
126,2,15979,27842,126,128,0,1,-1,-1,0
207,5,9822,18020,203,210,3,3,2835.4433608130203,-16085.973302227452,0
154,5,7240,15531,150,158,3,3,11948.268038892558,-8290.992016829634,0
169,3,8667,15050,169,173,0,3,-1,-1,0
201,1,12665,12665,201,201,0,0,-1,-1,0
175,3,557,11306,175,179,0,3,-1,-1,0
91,3,7793,11294,89,93,1,1,-1,-1,0
123,3,550431,807742,121,125,1,1,-1,-1,0
164,5,110614,412030,160,167,3,3,301415.2880196716,-61589.18880499317,1
195,5,46242,161567,191,199,3,3,115324.69916151202,-30582.88076083678,0
126,2,27030,45770,126,128,0,1,-1,-1,0
207,5,5371,18587,203,210,3,3,123.6885803975274,-15396.277145064501,0
113,3,8245,17285,111,115,1,1,-1,-1,0
119,2,10704,16927,117,119,1,0,-1,-1,0
175,5,5271,14347,171,179,3,3,4094.1037199331913,-10817.971931973483,0
185,5,5765,10125,181,189,3,3,4359.858165409987,-2690.0892809770658,0
156,4,5539,9946,152,158,3,1,1685.6593995626008,-8134.066177354567,0
195,5,162317,572646,191,199,3,3,410329.19937153865,-105188.30102034716,0
164,5,44017,173044,160,167,3,3,129026.02533693334,-24537.203293143102,1
123,3,52810,78372,121,125,1,1,-1,-1,0
207,5,5975,22198,203,210,3,3,467.8569733063341,-16222.694743535762,0
113,3,6624,13554,111,115,1,1,-1,-1,0
91,3,6669,11018,89,93,1,1,-1,-1,0
144,5,3430,8547,140,148,3,3,2432.816577345242,-5116.818986311983,0
238,7,933,8085,232,244,5,5,816.3679616508416,-6443.101854509714,0
175,5,2262,7035,171,179,3,3,427.75236927174956,-5421.688940179041,0
201,1,6987,6987,201,201,0,0,-1,-1,0
123,3,571749,839421,121,125,1,1,-1,-1,0
195,5,225969,796320,191,199,3,3,570350.7643394237,-149153.79539479618,0
164,5,172398,657903,160,167,3,3,485505.1457713434,-96633.74320535688,1
126,2,27128,46050,126,128,0,1,-1,-1,0
119,2,12341,18555,117,119,1,0,-1,-1,0
205,5,13997,17917,201,208,3,3,14155.775676888876,-2844.9038866721858,0
169,3,6128,13030,169,173,0,3,-1,-1,0
154,5,6601,12233,150,158,3,3,6423.049881019457,-1598.7501306029171,0
113,3,8152,10258,111,115,1,1,-1,-1,0
